Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-11 20:51:50 GMT,9455,1272630,14922,4029,643,1010812,16,330359808,278241856,42341152,6,46,7,492,258,137,24,24,true,"OK",0,0,"N/A",128
2025-05-22 20:04:32 GMT,7648,947851,8613,3735,622,968640,44,330359808,186560176,28389592,6,46,7,370,139,4,20,20,true,"OK",0,0,"N/A",128
2025-05-22 20:23:18 GMT,6477,938109,10925,4969,830,961437,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
2025-05-24 11:48:57 GMT,7670,1210005,8769,4154,631,1231435,16,330359808,186560176,28389592,6,46,7,370,139,3,24,24,true,"OK",0,0,"N/A",128
2025-05-24 12:14:57 GMT,7350,1023490,8794,3845,631,1044294,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
