Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-12 12:39:38 GMT,2,340740,5741,0,0,346483,16,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 12:45:44 GMT,3,360558,5761,0,0,366323,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 12:51:54 GMT,3,359945,9731,0,0,369681,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 12:57:53 GMT,4,350159,8602,0,0,358766,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:03:59 GMT,4,356943,9428,0,0,366375,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:10:16 GMT,4,367306,9660,0,0,376971,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:16:22 GMT,5,360640,5720,0,0,366367,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:22:31 GMT,3,363494,5647,0,0,369144,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:28:38 GMT,3,356888,9575,0,0,366467,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:34:42 GMT,5,354598,9660,0,0,364264,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:40:46 GMT,4,354546,9655,0,0,364206,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:46:45 GMT,5,352530,6225,0,0,358761,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:52:49 GMT,5,358127,5700,0,0,363834,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
