Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-12 06:08:57 GMT,11354,1626966,39895,18510,1312,1698268,16,573377536,871004000,55744256,16,125,8,492,238,96,68,68,true,"OK",0,0,"N/A",128
2025-05-24 17:10:29 GMT,12798,1713798,44189,16437,1285,1788754,16,573377536,871004000,55744256,16,125,8,474,218,73,68,68,true,"OK",0,0,"N/A",128
2025-05-24 17:42:55 GMT,13900,1827831,58137,17869,1363,1919400,16,573377536,871004000,55744256,16,125,8,474,218,73,68,68,true,"OK",0,0,"N/A",128
2025-05-24 18:17:49 GMT,11393,1799122,46394,16250,1123,1874555,16,573377536,871004000,55744256,16,125,8,474,218,74,68,68,true,"OK",0,0,"N/A",128
2025-05-24 18:46:58 GMT,10243,1650628,45982,17813,1240,1726184,16,573377536,871004000,55744256,16,125,8,474,218,74,68,68,true,"OK",0,0,"N/A",128
