Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-10 18:48:29 GMT,9948,2011147,97407,4131,152,2123226,32,1010578560,2021157120,71056305,32,256,9,815,544,409,130,130,true,"OK",32768,2,"55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 56",0
2025-05-11 16:28:35 GMT,12094,2028525,107229,4885,178,2153405,32,1010578560,2021157120,71056305,32,256,9,815,544,410,130,130,true,"OK",32768,2,"55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 56",0
2025-05-22 14:04:20 GMT,11497,2071822,103182,4491,159,2191723,32,1010578560,2021157120,71056305,32,256,9,815,545,411,130,130,true,"OK",32768,2,"55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 56",0
2025-05-22 14:57:57 GMT,9418,2099924,102617,4367,200,2216952,32,1010578560,2021157120,71056305,32,256,9,815,545,411,130,130,true,"OK",32768,2,"55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 56",0
2025-05-22 15:41:38 GMT,10386,2067784,106736,5588,189,2191113,32,1010578560,2021157120,71056305,32,256,9,815,544,410,130,130,true,"OK",32768,2,"55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 56",0
