Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-15 20:03:22 GMT,79094,5230527,6596,357,44,5316696,8,8623919104,134748736,14738143,8,64,7,379,319,227,0,0,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-20 06:21:01 GMT,77076,4679608,4507,255,28,4761556,8,8623919104,134748736,14738143,8,64,7,379,319,226,0,0,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-20 10:21:40 GMT,74992,5087282,5175,294,32,5167850,8,8623919104,134748736,14738143,8,64,7,379,319,227,0,0,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-20 14:15:07 GMT,66926,4843485,6073,340,40,4916951,8,8623919104,134748736,14738143,8,64,7,379,319,226,0,0,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-20 16:38:01 GMT,74816,5176121,4356,291,31,5255704,8,8623919104,134748736,14738143,8,64,7,379,319,227,0,0,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
