Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-12 08:14:35 GMT,44083,1703652,192032,64269,1741,2006053,44,2351743800,3658216800,76648352,66,525,11,492,346,138,262,262,true,"OK",0,0,"N/A",128
2025-05-13 20:44:58 GMT,27211,1090839,132082,43930,1063,1295285,44,1354991400,2129219400,44612216,66,525,11,370,227,22,262,262,true,"OK",0,0,"N/A",128
2025-05-22 16:17:48 GMT,31830,1084051,129202,41402,994,1287633,44,1354991400,2129219400,44612216,66,525,11,370,227,22,262,262,true,"OK",0,0,"N/A",128
2025-05-22 16:41:55 GMT,28144,1089568,130191,41004,974,1290055,44,1354991400,2129219400,44612216,66,525,11,370,227,22,262,262,true,"OK",0,0,"N/A",128
2025-05-22 17:03:31 GMT,26649,1076749,123885,43761,915,1272116,44,1354991400,2129219400,44612216,66,525,11,370,227,22,262,262,true,"OK",0,0,"N/A",128
