Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-10 12:19:33 GMT,6386,325039,24816,1405,40,357759,44,739012599,739012599,21054490,44,351,10,379,266,122,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 17:17:06 GMT,5716,382017,30007,1405,43,419271,44,739012599,739012599,21054490,44,351,10,379,266,124,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 17:26:29 GMT,5268,382381,29141,1699,49,418618,43,739012599,739012599,21054490,44,351,10,379,266,124,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 17:33:39 GMT,5345,324595,24395,1398,40,355847,42,739012599,739012599,21054490,44,351,10,379,266,125,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 20:23:13 GMT,6666,359277,30975,1673,47,398720,44,739012599,739012599,21054490,44,351,10,379,266,124,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 20:38:57 GMT,6689,328325,29364,1689,49,366202,44,739012599,739012599,21054490,44,351,10,379,265,123,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 21:14:51 GMT,5554,300825,24235,1718,48,332451,44,739012599,739012599,21054490,44,351,10,379,266,125,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 20:11:33 GMT,6381,326494,24419,1680,49,359096,44,739012599,739012599,21054490,44,351,10,379,266,126,185,185,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
