Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-15 05:54:50 GMT,20044,3428364,132288,35316,1032,3617463,32,1163291648,3579334656,125835984,32,256,9,696,321,148,130,130,true,"OK",0,0,"N/A",128
2025-05-22 05:55:53 GMT,21265,3412725,127299,33715,986,3596447,32,1163291648,3579334656,125835984,32,256,9,696,321,147,130,130,true,"OK",0,0,"N/A",128
2025-05-22 07:55:19 GMT,20810,3453150,129264,34029,983,3638689,32,1163291648,3579334656,125835984,32,256,9,696,321,147,130,130,true,"OK",0,0,"N/A",128
2025-05-22 08:58:52 GMT,19608,3437457,130438,33956,983,3622896,32,1163291648,3579334656,125835984,32,256,9,696,321,148,130,130,true,"OK",0,0,"N/A",128
2025-05-22 12:17:46 GMT,19338,3384868,122070,30632,899,3558211,32,1163291648,3579334656,125835984,32,256,9,696,321,148,130,130,true,"OK",0,0,"N/A",128
