Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-14 15:39:50 GMT,7,13921762,50525,0,0,13972296,44,1335600,1335600,27984,66,525,11,-2147483648,-2147483648,-2147483648,262,262,true,"OK",0,0,"N/A",128
2025-05-23 23:31:34 GMT,6,11309469,43614,0,0,11353090,44,1335600,1335600,27984,66,525,11,-2147483648,-2147483648,-2147483648,262,262,true,"OK",0,0,"N/A",128
2025-05-24 02:43:41 GMT,6,11481394,45166,0,0,11526567,44,1335600,1335600,27984,66,525,11,-2147483648,-2147483648,-2147483648,262,262,true,"OK",0,0,"N/A",128
2025-05-24 05:53:22 GMT,6,11335953,44725,0,0,11380686,44,1335600,1335600,27984,66,525,11,-2147483648,-2147483648,-2147483648,262,262,true,"OK",0,0,"N/A",128
2025-05-24 09:11:34 GMT,6,11844362,48451,0,0,11892820,44,1335600,1335600,27984,66,525,11,-2147483648,-2147483648,-2147483648,262,262,true,"OK",0,0,"N/A",128
