Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-18 06:47:01 GMT,2422,386710,12170,910,50,402332,16,269497472,263181125,16843592,16,125,8,379,187,79,68,68,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-18 06:57:30 GMT,2609,349743,9937,588,38,362999,16,269497472,263181125,16843592,16,125,8,379,187,79,68,68,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-24 12:27:35 GMT,2501,341528,8619,509,32,353277,16,269497472,263181125,16843592,16,125,8,379,186,79,68,68,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-24 12:33:34 GMT,2035,344924,11625,674,43,359368,16,269497472,263181125,16843592,16,125,8,379,185,79,68,68,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-24 12:39:34 GMT,2733,346725,9563,541,35,359685,16,269497472,263181125,16843592,16,125,8,379,186,79,68,68,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
