Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-10 12:01:23 GMT,2301,359495,3849,214,32,365966,16,269497472,96850654,14738143,6,46,7,379,200,108,24,24,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-11 12:04:06 GMT,2056,527708,10635,604,88,541163,16,269497472,96850654,14738143,6,46,7,379,201,108,24,24,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-11 12:05:26 GMT,3136,556174,8492,459,73,568435,16,269497472,96850654,14738143,6,46,7,379,201,111,24,24,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-11 12:05:32 GMT,2734,562422,4227,238,36,569760,16,269497472,96850654,14738143,6,46,7,379,202,109,24,24,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-11 12:05:59 GMT,3848,537642,3950,215,33,545885,16,269497472,96850654,14738143,6,46,7,379,202,110,24,24,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
