Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-12 20:50:02 GMT,2,11136441,22873,0,0,11159317,32,325632,651264,22896,32,256,9,-2147483648,-2147483648,-2147483648,130,130,true,"OK",0,0,"N/A",128
2025-05-22 23:05:24 GMT,1,9548858,20685,0,0,9569546,32,325632,651264,22896,32,256,9,-2147483648,-2147483648,-2147483648,130,130,true,"OK",0,0,"N/A",128
2025-05-23 02:19:48 GMT,4,10019346,20730,0,0,10040081,32,325632,651264,22896,32,256,9,-2147483648,-2147483648,-2147483648,130,130,true,"OK",0,0,"N/A",128
2025-05-23 07:31:33 GMT,1,10571788,21280,0,0,10593070,32,325632,651264,22896,32,256,9,-2147483648,-2147483648,-2147483648,130,130,true,"OK",0,0,"N/A",128
2025-05-23 11:20:41 GMT,1,12317323,24062,0,0,12341387,32,325632,651264,22896,32,256,9,-2147483648,-2147483648,-2147483648,130,130,true,"OK",0,0,"N/A",128
