Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-10 11:45:04 GMT,2272,57823,10240,599,42,71059,17,271602921,271602921,18949041,17,129,9,379,306,182,58,58,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 11:46:53 GMT,2189,51869,9192,521,37,63887,17,271602921,271602921,18949041,17,129,9,379,306,180,58,58,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 11:49:56 GMT,2199,57956,10314,590,41,71170,17,271602921,271602921,18949041,17,129,9,379,307,182,58,58,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 11:51:29 GMT,2366,58238,8697,493,34,69905,17,271602921,271602921,18949041,17,129,9,379,306,181,58,58,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 11:52:54 GMT,2408,60005,10427,597,42,73563,17,271602921,271602921,18949041,17,129,9,379,306,181,58,58,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
2025-05-10 20:59:10 GMT,2324,65251,10751,609,43,79072,17,271602921,271602921,18949041,17,129,9,379,306,183,58,58,true,"OK",16384,2,"48; 48; 48; 49; 49; 49; 49; 49; 49",0
