Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-22 19:29:37 GMT,6682,899871,9937,4853,833,922312,44,330359808,186560176,28389592,6,46,7,370,139,4,20,20,true,"OK",0,0,"N/A",128
2025-05-22 19:46:24 GMT,7526,922062,10766,3709,618,944831,44,330359808,186560176,28389592,6,46,7,370,139,4,20,20,true,"OK",0,0,"N/A",128
2025-05-25 11:37:02 GMT,7452,1215129,14831,7127,958,1245636,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
2025-05-25 12:03:37 GMT,7416,1306699,13654,7051,955,1335928,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
2025-05-25 12:34:59 GMT,7123,1383049,11683,7910,916,1410829,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
2025-05-25 13:09:26 GMT,9183,1532486,12077,5177,864,1559983,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
2025-05-25 13:44:51 GMT,14853,1360634,11442,5075,879,1393230,16,330359808,186560176,28389592,6,46,7,370,139,4,24,24,true,"OK",0,0,"N/A",128
